Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
NAME_HOUSING_TYPE_With parents,0,0,25,6,0,0,4,21,7.0
OCCUPATION_TYPE_Accountants,3,1,2,0,4,0,3,1,1.75
OCCUPATION_TYPE_Cleaning staff,6,7,0,0,0,0,0,3,2.0
OCCUPATION_TYPE_Core staff,34,31,27,41,25,36,33,38,33.125
OCCUPATION_TYPE_Drivers,34,16,18,7,9,15,17,30,18.25
OCCUPATION_TYPE_High skill tech staff,1,0,5,1,10,2,6,2,3.375
OCCUPATION_TYPE_IT staff,0,0,17,0,0,0,2,0,2.375
OCCUPATION_TYPE_Laborers,16,10,12,0,7,8,10,12,9.375
OCCUPATION_TYPE_Low-skill Laborers,1,1,1,1,0,14,3,3,3.0
OCCUPATION_TYPE_Managers,7,10,13,1,2,11,7,22,9.125
OCCUPATION_TYPE_Medicine staff,0,1,11,3,0,8,0,0,2.875
OCCUPATION_TYPE_Sales staff,19,17,35,12,11,5,4,29,16.5
OCCUPATION_TYPE_Secretaries,0,0,14,11,1,0,0,4,3.75
OCCUPATION_TYPE_Security staff,2,2,1,3,3,1,0,2,1.75
OCCUPATION_TYPE_Waiters/barmen staff,0,9,14,4,0,0,14,11,6.5
WEEKDAY_APPR_PROCESS_START_FRIDAY,3,13,14,10,9,4,0,18,8.875
WEEKDAY_APPR_PROCESS_START_MONDAY,23,11,34,11,8,8,3,25,15.375
WEEKDAY_APPR_PROCESS_START_SATURDAY,5,9,24,9,4,5,0,24,10.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0,2,5,0,1,2,0,7,2.125
WEEKDAY_APPR_PROCESS_START_THURSDAY,0,0,12,4,0,0,0,3,2.375
WEEKDAY_APPR_PROCESS_START_TUESDAY,8,11,27,27,8,4,22,41,18.5
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,10,11,16,8,4,10,7,29,11.875
ORGANIZATION_TYPE_Advertising,0,0,0,0,1,0,0,0,0.125
ORGANIZATION_TYPE_Agriculture,0,1,2,0,1,0,0,5,1.125
ORGANIZATION_TYPE_Bank,0,2,1,0,19,0,3,12,4.625
ORGANIZATION_TYPE_Business Entity Type 1,4,4,7,7,1,0,0,2,3.125
ORGANIZATION_TYPE_Business Entity Type 2,0,0,3,2,5,10,8,3,3.875
ORGANIZATION_TYPE_Business Entity Type 3,8,19,21,10,5,4,11,11,11.125
ORGANIZATION_TYPE_Cleaning,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Construction,20,23,13,11,4,6,17,34,16.0
ORGANIZATION_TYPE_Government,2,10,5,0,0,2,3,7,3.625
ORGANIZATION_TYPE_Housing,1,24,2,2,9,0,1,1,5.0
ORGANIZATION_TYPE_Industry,2,1,7,0,4,0,0,4,2.25
ORGANIZATION_TYPE_Kindergarten,18,34,30,32,16,15,17,55,27.125
ORGANIZATION_TYPE_Medicine,0,0,3,0,2,3,0,0,1.0
ORGANIZATION_TYPE_Military,1,0,1,0,0,2,0,1,0.625
ORGANIZATION_TYPE_Other,3,3,2,0,0,4,1,0,1.625
ORGANIZATION_TYPE_Police,0,0,0,0,0,1,5,0,0.75
ORGANIZATION_TYPE_Postal,0,2,0,0,0,0,0,1,0.375
ORGANIZATION_TYPE_Realtor,0,10,15,10,16,8,4,14,9.625
ORGANIZATION_TYPE_Restaurant,2,0,0,0,0,1,0,0,0.375
ORGANIZATION_TYPE_School,40,15,14,12,28,3,2,7,15.125
ORGANIZATION_TYPE_Security,0,0,0,1,0,6,0,17,3.0
ORGANIZATION_TYPE_Security Ministries,0,1,1,0,2,0,1,0,0.625
ORGANIZATION_TYPE_Self-employed,69,72,74,56,21,61,46,57,57.0
ORGANIZATION_TYPE_Services,0,0,0,1,0,0,0,0,0.125
ORGANIZATION_TYPE_Trade,0,0,0,0,10,0,2,0,1.5
ORGANIZATION_TYPE_Transport,3,24,34,20,5,21,26,20,19.125
ORGANIZATION_TYPE_University,0,0,0,0,0,0,0,0,0.0
WALLSMATERIAL_MODE_Block,5,7,0,0,0,0,3,2,2.125
WALLSMATERIAL_MODE_Mixed,5,0,16,0,3,2,7,0,4.125
WALLSMATERIAL_MODE_Monolithic,0,0,2,0,0,0,0,0,0.25
WALLSMATERIAL_MODE_Others,0,0,10,1,0,1,2,6,2.5
WALLSMATERIAL_MODE_Panel,3,3,1,5,1,3,4,3,2.875
"WALLSMATERIAL_MODE_Stone, brick",22,10,8,4,3,6,12,9,9.25
WALLSMATERIAL_MODE_Wooden,0,3,0,1,0,0,0,0,0.5
TRAIN_DATA_LR_PREDS,1227,1291,1447,1169,1169,1175,1154,1550,1272.75
MAX_DAYS_OVERDUE,17,31,61,10,19,8,14,45,25.625
AVG_DAYS_OVERDUE,28,12,80,18,6,44,14,55,32.125
MAX_CREDIT_OVERDUE,137,102,124,94,100,117,130,97,112.625
AVG_CREDIT_OVERDUE,111,132,138,119,92,105,111,142,118.75
NUM_TIMES_PROLONGED,19,35,32,25,8,10,17,33,22.375
TOTAL_CURRENT_CREDIT_AMT,525,586,769,548,492,471,410,864,583.125
TOTAL_CURRENT_CREDIT_DEBT,635,682,868,714,566,662,672,964,720.375
TOTAL_CURRENT_CREDIT_LIMIT,179,233,334,212,175,156,208,286,222.875
BUREAU_OLDEST_MONTH,155,198,236,128,73,118,102,274,160.5
BUREAU_NEWEST_MONTH,39,61,96,60,26,56,33,60,53.875
BUREAU_OLDEST_APP,189,293,451,209,176,208,213,448,273.375
BUREAU_NEWEST_APP,698,805,906,616,626,560,560,821,699.0
BUREAU_AVG_APP_AGE,286,365,501,205,207,217,204,463,306.0
BUREAU_OLDEST_UPDATE,208,295,384,246,175,182,190,362,255.25
BUREAU_NEWEST_UPDATE,221,351,472,242,182,213,190,497,296.0
OLDEST_CREDIT_ENDDATE,254,393,492,248,188,203,263,496,317.125
NEWEST_CREDIT_ENDDATE,783,863,989,651,556,721,771,1055,798.625
TOTAL_BUREAU_BALANCE_ENTIRES,163,189,159,90,102,134,93,123,131.625
AVG_NUM_BUREAU_BALANCE_ENTRIES,270,251,389,264,201,226,182,315,262.25
BUREAU_CREDIT_COUNT,97,123,148,99,85,117,120,252,130.125
NUM_BBAL_STATUS_0,144,191,183,175,100,99,104,184,147.5
NUM_BBAL_STATUS_1,52,103,138,47,50,88,74,159,88.875
NUM_BBAL_STATUS_2,12,41,27,28,4,25,5,52,24.25
NUM_BBAL_STATUS_3,11,9,21,9,1,7,0,11,8.625
NUM_BBAL_STATUS_4,1,4,19,0,4,1,0,15,5.5
NUM_BBAL_STATUS_5,21,10,14,7,9,10,19,9,12.375
NUM_BBAL_STATUS_C,113,96,104,96,76,90,55,174,100.5
NUM_BBAL_STATUS_X,176,107,213,128,53,80,81,187,128.125
NUM_CREDIT_TYPE_Another type of loan,0,0,0,0,0,0,0,0,0.0
NUM_CREDIT_TYPE_Car loan,3,36,19,12,7,14,5,49,18.125
NUM_CREDIT_TYPE_Consumer credit,136,87,124,111,77,38,72,173,102.25
NUM_CREDIT_TYPE_Credit card,67,110,132,129,115,62,74,149,104.75
NUM_CREDIT_TYPE_Microloan,3,16,21,6,4,26,20,11,13.375
NUM_CREDIT_TYPE_Mortgage,19,8,28,1,0,28,47,11,17.75
FRAC_CREDIT_TYPE_Another type of loan,0,30,60,0,1,0,0,28,14.875
FRAC_CREDIT_TYPE_Car loan,70,38,175,21,47,27,54,101,66.625
FRAC_CREDIT_TYPE_Consumer credit,142,170,260,91,62,73,116,269,147.875
FRAC_CREDIT_TYPE_Credit card,68,123,220,122,68,98,94,195,123.5
FRAC_CREDIT_TYPE_Microloan,103,144,117,129,118,96,111,102,115.0
FRAC_CREDIT_TYPE_Mortgage,164,197,171,144,125,123,95,167,148.25
NUM_CREDIT_ACTIVE_Active,202,175,149,112,150,134,92,265,159.875
NUM_CREDIT_ACTIVE_Bad debt,0,0,0,0,0,0,0,0,0.0
NUM_CREDIT_ACTIVE_Closed,90,90,184,70,52,112,62,115,96.875
NUM_CREDIT_ACTIVE_Sold,4,0,0,2,0,4,0,4,1.75
FRAC_CREDIT_ACTIVE_Active,79,94,152,66,42,66,85,132,89.5
FRAC_CREDIT_ACTIVE_Bad debt,0,0,0,0,0,0,0,0,0.0
FRAC_CREDIT_ACTIVE_Closed,63,109,149,64,37,54,56,123,81.875
FRAC_CREDIT_ACTIVE_Sold,33,25,60,42,27,29,48,46,38.75
NUM_BUREAU_APP_60_DAYS,5,15,20,23,3,3,26,41,17.0
NUM_BUREAU_APP_120_DAYS,4,45,39,24,18,7,20,42,24.875
NUM_BUREAU_APP_365_DAYS,75,71,103,42,54,32,47,102,65.75
BUREAU_LR_PREDS,869,884,1052,835,839,776,826,1071,894.0
MIN_AMT_ANNUITY,302,336,474,272,308,262,295,515,345.5
MAX_AMT_ANNUITY,155,174,278,218,207,169,181,241,202.875
AVG_AMT_ANNUITY,293,296,505,280,133,201,193,421,290.25
TOTAL_AMT_ANNUITY,143,197,230,156,118,149,155,286,179.25
MAX_CREDIT_RECEIVED,169,206,248,165,151,142,175,318,196.75
MIN_CREDIT_RECEIVED,90,136,154,82,97,81,64,148,106.5
AVG_CREDIT_RECEIVED,212,217,303,123,188,171,191,359,220.5
TOTAL_CREDIT_RECEIVED,140,209,274,147,151,147,131,220,177.375
MIN_AMT_APPLICATION,79,87,100,72,61,59,59,138,81.875
MAX_AMT_APPLICATION,148,182,248,139,121,129,125,220,164.0
AVG_AMT_APPLICATION,212,230,314,215,123,139,233,327,224.125
TOTAL_AMT_APPLICATION,155,190,243,167,160,177,193,226,188.875
LOG_AVG_AMT_APPLICATION,264,281,449,201,158,181,227,453,276.75
MAX_APP_CREDIT_DIFF,262,257,392,214,227,239,253,460,288.0
MIN_APP_CREDIT_DIFF,249,213,401,257,188,210,225,339,260.25
MIN_APP_CREDIT_RATIO,386,402,506,340,305,295,288,536,382.25
AMEAN_APP_CREDIT_RATIO,360,318,561,211,228,278,256,457,333.625
MAX_APP_CREDIT_RATIO,304,206,392,205,199,190,227,473,274.5
LAST_DECISION_DATE,353,443,461,336,247,272,277,523,364.0
NUM_APPS_IN_ON_LAST_DAY,45,45,63,22,28,28,17,82,41.25
MIN_AMT_DOWN_PAYMENT,109,195,214,62,70,86,67,167,121.25
MAX_AMT_DOWN_PAYMENT,333,273,403,261,213,261,223,420,298.375
AVG_AMT_DOWN_PAYMENT,248,319,323,196,170,210,201,394,257.625
OLDEST_TERMINATION_DATE,384,379,497,254,172,287,248,468,336.125
NEWEST_TERMINATION_DATE,591,714,889,632,590,528,538,891,671.625
NUMBER_APPLICATIONS,25,25,41,21,16,19,20,69,29.5
NUM_CONTRACT_STATUS_Approved,34,51,43,28,41,47,40,43,40.875
NUM_CONTRACT_STATUS_Canceled,56,57,88,67,13,25,40,78,53.0
NUM_CONTRACT_STATUS_Refused,68,74,89,58,57,48,88,94,72.0
NUM_CONTRACT_STATUS_Unused offer,21,8,11,9,13,6,15,27,13.75
FRAC_CONTRACT_STATUS_Approved,104,165,229,107,82,96,161,264,151.0
FRAC_CONTRACT_STATUS_Canceled,91,141,165,84,51,77,77,193,109.875
FRAC_CONTRACT_STATUS_Refused,280,282,266,213,224,259,300,306,266.25
FRAC_CONTRACT_STATUS_Unused offer,19,41,91,7,11,28,27,45,33.625
NUM_0,0,0,0,0,0,0,0,0,0.0
NUM_EQUAL_TO_CREDIT_ASKED,34,89,71,52,40,27,52,77,55.25
NUM_LESS_CREDIT_THAN_ASKED,22,18,57,36,27,20,10,44,29.25
NUM_MORE_CREDIT_THAN_ASKED,32,52,66,29,40,30,42,60,43.875
FRAC_0,0,0,0,0,0,0,0,0,0.0
