Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
NUM_EQUAL_TO_CREDIT_ASKED,80,66,117,74,28,68,101,25,69.875
NUM_LESS_CREDIT_THAN_ASKED,20,28,39,22,18,15,32,28,25.25
NUM_MORE_CREDIT_THAN_ASKED,8,23,77,29,39,14,16,27,29.125
FRAC_EQUAL_TO_CREDIT_ASKED,114,100,72,67,102,82,98,98,91.625
FRAC_LESS_CREDIT_THAN_ASKED,48,45,42,56,34,60,57,80,52.75
FRAC_MORE_CREDIT_THAN_ASKED,213,149,174,135,180,164,221,178,176.75
NUM_CONTRACT_TYPE_Cash loans,62,61,45,53,68,71,64,83,63.375
NUM_CONTRACT_TYPE_Consumer loans,84,91,56,83,58,60,52,51,66.875
NUM_CONTRACT_TYPE_Revolving loans,24,41,14,30,47,40,24,23,30.375
FRAC_CONTRACT_TYPE_Cash loans,263,157,193,123,141,114,192,306,186.125
FRAC_CONTRACT_TYPE_Consumer loans,123,127,91,75,53,126,155,75,103.125
FRAC_CONTRACT_TYPE_Revolving loans,81,80,128,27,59,75,110,80,80.0
NUM_PREV_PAYMENT_TYPE_Cash through the bank,57,71,65,53,46,84,67,85,66.0
NUM_PREV_PAYMENT_TYPE_Cashless from the account of the employer,0,0,3,0,0,0,0,0,0.375
NUM_PREV_PAYMENT_TYPE_Non-cash from your account,3,0,0,0,1,3,0,0,0.875
FRAC_PREV_PAYMENT_TYPE_Cash through the bank,159,100,173,88,85,136,121,126,123.5
FRAC_PREV_PAYMENT_TYPE_Cashless from the account of the employer,0,0,0,6,1,0,0,5,1.5
FRAC_PREV_PAYMENT_TYPE_Non-cash from your account,0,8,41,12,5,36,5,21,16.0
PREV_APP_LR_PREDS,732,601,688,544,631,707,656,686,655.625
NUM_LATE_CC_PAYMENTS,71,3,36,6,8,5,30,20,22.375
MOST_OVERDUE_CC,6,5,4,4,1,0,16,6,5.25
AVG_CREDIT_LIMIT_ACTUAL,126,66,96,59,80,60,125,65,84.625
MAX_CREDIT_LIMIT,13,17,35,7,6,24,6,27,16.875
NUM_PREV_CC_LOANS,0,3,0,0,0,0,0,0,0.375
MAX_BALANCE,19,37,19,27,19,13,15,44,24.125
AVG_CC_BALANCE,21,18,16,15,9,7,14,5,13.125
AMT_BALANCE_STDEV,47,38,50,19,59,51,59,46,46.125
MAX_PAID_ON_CREDIT,69,25,55,40,43,53,44,71,50.0
AVG_PAID_ON_CREDIT,93,106,145,49,67,152,132,92,104.5
