Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
NEWEST_CREDIT_ENDDATE,1261,1184,1037,997,982,1034,829,1480,1100.5
BUREAU_CREDIT_COUNT,229,254,223,221,169,194,123,334,218.375
CREDIT_TYPE_Another type of loan,51,22,35,26,44,22,9,29,29.75
CREDIT_TYPE_Car loan,49,135,43,95,94,69,20,79,73.0
CREDIT_TYPE_Consumer credit,197,219,196,168,198,258,149,220,200.625
CREDIT_TYPE_Credit card,171,207,137,102,152,187,107,272,166.875
CREDIT_TYPE_Microloan,156,153,158,156,160,194,161,256,174.25
CREDIT_TYPE_Mortgage,166,160,163,148,165,142,130,181,156.875
NUM_CREDIT_ACTIVE,268,299,213,254,261,294,266,414,283.625
NUM_CREDIT_CLOSED,307,433,383,327,455,414,257,401,372.125
BUREAU_LR_PREDS,873,1047,894,946,990,986,673,1168,947.125
NUMBER_APPROVED,140,95,77,70,101,67,54,128,91.5
NUMBER_CANCELED,63,79,82,104,164,145,54,133,103.0
NUMBER_REFUSED,111,95,99,98,148,126,39,143,107.375
NUMBER_UNUSED,50,13,27,20,5,17,25,31,23.5
NUMBER_APPLICATIONS,154,182,188,110,132,130,78,166,142.5
FRAC_APPROVED,294,299,306,244,296,265,220,338,282.75
FRAC_CANCELED,263,275,181,236,243,197,154,289,229.75
FRAC_REFUSED,548,694,576,622,575,590,510,659,596.75
FRAC_UNUSED,70,87,106,70,72,84,70,133,86.5
LAST_DECISION_DATE,916,968,876,904,930,778,721,1092,898.125
NUMBER_MORE_CREDIT_THAN_ASKED,156,130,140,174,99,115,34,170,127.25
NUMBER_EQUAL_TO_CREDIT_ASKED,63,87,71,125,79,56,67,119,83.375
NUMBER_LESS_THAN_CREDIT_ASKED,46,71,30,40,43,58,16,101,50.625
FRAC_MORE_CREDIT_THAN_ASKED,209,293,185,187,267,214,131,264,218.75
FRAC_EQUAL_TO_CREDIT_ASKED,246,243,230,201,213,252,138,310,229.125
FRAC_LESS_THAN_CREDIT_ASKED,146,179,142,158,125,133,82,195,145.0
MAX_CREDIT_REQUESTED,532,658,566,519,498,643,432,784,579.0
MIN_CREDIT_REQUESTED,327,417,277,284,299,234,141,437,302.0
AVG_CREDIT_REQUESTED,570,613,474,538,624,571,340,617,543.375
MAX_APP_CREDIT_DIFF,740,656,575,589,587,639,516,866,646.0
MIN_APP_CREDIT_DIFF,509,617,408,480,446,588,360,732,517.5
MIN_APP_CREDIT_RATIO,595,754,674,651,608,737,505,777,662.625
AMEAN_APP_CREDIT_RATIO,636,717,612,600,597,534,435,849,622.5
MAX_APP_CREDIT_RATIO,535,682,517,382,437,507,329,751,517.5
PREV_APP_LR_PREDS,573,788,636,614,691,703,464,904,671.625
NUM_LATE_CC_PAYMENTS,28,44,14,15,47,48,26,99,40.125
MOST_OVERDUE_CC,19,14,18,7,12,47,20,25,20.25
AVG_CREDIT_LIMIT_ACTUAL,298,425,340,316,307,313,230,492,340.125
MAX_CREDIT_LIMIT,113,94,105,87,114,123,69,143,106.0
NUM_PREV_CC_LOANS,2,8,3,15,13,11,1,2,6.875
MAX_BALANCE,134,99,73,84,85,100,72,120,95.875
AVG_CC_BALANCE,97,157,149,138,124,95,119,169,131.0
AMT_BALANCE_STDEV,123,236,103,108,166,161,78,235,151.25
MAX_PAID_ON_CREDIT,154,144,153,109,149,146,71,163,136.125
AVG_PAID_ON_CREDIT,187,244,144,203,144,223,144,247,192.0
AMT_PAID_ON_CREDIT_STDEV,168,182,215,130,133,181,130,249,173.5
MAX_DRAWINGS_IN_MONTH,180,187,179,160,228,176,158,211,184.875
AVG_DRAWINGS_PER_MONTH,157,130,131,153,133,129,100,147,135.0
TOTAL_NUM_ALL_DRAWINGS,77,92,77,89,88,61,39,144,83.375
MIN_MONTHLY_DRAWINGS,29,22,37,27,31,30,26,68,33.75
MAX_MONTHLY_DRAWINGS,40,87,57,76,67,74,45,155,75.125
AVG_MONTHLY_DRAWINGS,72,71,88,89,63,76,67,93,77.375
TOTAL_AMT_ALL_DRAWINGS,92,130,75,96,120,106,57,151,103.375
MIN_DRAW_TO_TOTAL_PAY,113,74,68,129,110,94,74,114,97.0
MAX_DRAW_TO_TOTAL_PAY,107,113,134,98,149,125,82,125,116.625
AVG_DRAW_TO_TOTAL_PAY,109,104,97,84,114,74,81,204,108.375
AVG_AMT_ATM_DRAWINGS,183,173,180,138,150,211,127,171,166.625
TOTAL_AMT_ATM_DRAWINGS,79,106,60,60,82,173,80,122,95.25
AVG_NUM_ATM_DRAWINGS,512,477,487,441,478,475,413,599,485.25
TOTAL_NUM_ATM_DRAWINGS,105,123,115,108,83,112,103,175,115.5
OVERALL_AVG_ALL_DRAWING_AMT,286,321,240,221,265,220,246,360,269.875
OVERALL_AVG_ATM_DRAWING_AMT,263,319,251,209,266,250,160,315,254.125
NUM_LATE_CC_PAYMENTS_1_MONTHS,4,0,20,6,3,47,15,34,16.125
AVG_PAID_ON_CREDIT_1_MONTHS,111,153,138,123,112,140,87,157,127.625
AVG_BALANCE_1_MONTHS,399,448,395,407,385,462,324,519,417.375
NUM_DRAWINGS_1_MONTHS,121,116,80,83,135,81,51,183,106.25
NUM_LATE_CC_PAYMENTS_6_MONTHS,68,46,40,46,70,46,51,48,51.875
AVG_PAID_ON_CREDIT_6_MONTHS,144,127,81,112,108,148,60,148,116.0
AVG_BALANCE_6_MONTHS,208,241,282,172,251,197,227,277,231.875
NUM_DRAWINGS_6_MONTHS,278,252,229,221,191,320,226,248,245.625
NUM_LATE_CC_PAYMENTS_12_MONTHS,46,73,35,55,39,13,15,38,39.25
AVG_PAID_ON_CREDIT_12_MONTHS,48,86,85,68,109,83,52,76,75.875
AVG_BALANCE_12_MONTHS,150,113,102,186,117,103,115,97,122.875
NUM_DRAWINGS_12_MONTHS,146,101,86,115,78,125,74,117,105.25
NUM_LATE_CC_PAYMENTS_24_MONTHS,21,60,10,51,27,9,19,16,26.625
AVG_PAID_ON_CREDIT_24_MONTHS,146,119,129,53,86,114,87,145,109.875
AVG_BALANCE_24_MONTHS,92,66,107,54,73,83,69,84,78.5
NUM_DRAWINGS_24_MONTHS,31,48,73,36,63,104,46,87,61.0
CC_LR_PREDS,281,339,305,291,225,255,215,330,280.125
MIN_PAYMENT,501,577,448,374,553,470,360,707,498.75
AVG_PAYMENT,686,839,681,669,709,603,488,984,707.375
MAX_PAYMENT,1050,1076,1049,983,1133,1153,696,1167,1038.375
LOG_AVG_PAYMENT,716,840,738,732,823,809,694,1059,801.375
BEST_PAYMENT_DATE,527,653,555,506,538,592,467,802,580.0
AVG_DAYS_OFF_PAYMENT,607,664,594,578,586,680,453,797,619.875
WORST_PAYMENT_DATE,774,1013,737,849,786,831,612,1008,826.25
MIN_INSTALL_FRAC_PAID,333,422,264,306,307,339,217,491,334.875
AVG_INSTALL_FRAC_PAID,290,284,223,225,314,300,178,441,281.875
MAX_INSTALL_FRAC_PAID,150,146,145,104,116,160,85,206,139.0
NUM_PAYMENTS_UNDER,155,113,92,116,101,135,74,92,109.75
NUM_PAYMENTS_EXACT_AMT,684,760,756,672,654,643,530,923,702.75
NUM_PAYMENTS_OVER_AMT,115,122,110,148,152,101,145,152,130.625
FRAC_PAYMENTS_UNDER,180,183,158,129,166,197,125,252,173.75
FRAC_PAYMENTS_EXACT_AMT,153,249,147,165,200,170,127,310,190.125
FRAC_PAYMENTS_OVER_AMT,99,175,132,81,121,95,27,122,106.5
NUM_PAYMENTS_LATE,86,192,113,118,103,117,67,194,123.75
NUM_PAYMENTS_ON_TIME,306,308,244,316,237,307,202,313,279.125
NUM_PAYMENTS_EARLY,974,846,953,821,737,872,680,1060,867.875
FRAC_PAYMENTS_LATE,574,647,659,518,565,745,492,728,616.0
FRAC_PAYMENTS_ON_TIME,318,351,311,331,296,283,149,324,295.375
FRAC_PAYMENTS_EARLY,239,293,192,265,259,254,164,401,258.375
INST_PAY_LR_PREDS,1004,1167,1091,909,1080,1078,844,1121,1036.75
NUM_LATE_POS_PAYMENTS,1,5,14,10,9,1,8,1,6.125
MAX_DPD,213,227,162,192,166,211,154,237,195.25
AVG_DPD,381,386,407,392,411,365,292,438,384.0
NUM_CONTRACTS_COMPLETED,141,306,211,178,223,237,142,299,217.125
NUM_INSTALMENTS_PENDING,893,913,772,855,844,845,692,1012,853.25
NUM_ACCOUNTS_ACTIVE,124,121,113,116,47,94,68,90,96.625
POS_CASH_LR_PREDS,557,674,445,343,425,528,344,696,501.5
